timestamp,id,extended_id,RX,remote_frame,error_frame,dlc,rotor_count_hex,rotor_speed_hex,current_hex
1678405864.5801518,0x201,0,1,0,0,8,0557,000E,FF1A
1678405864.5814223,0x201,0,1,0,0,8,0558,0007,FF1A
1678405864.5821893,0x201,0,1,0,0,8,0558,0003,FF1A
1678405864.5834596,0x201,0,1,0,0,8,0559,0000,FEF6
1678405864.5842016,0x201,0,1,0,0,8,0557,FFF8,FED0
1678405864.5851274,0x201,0,1,0,0,8,0555,FFF5,FEF6
1678405864.5863972,0x201,0,1,0,0,8,0553,FFF1,FEF6
1678405864.5871723,0x201,0,1,0,0,8,054E,FFE6,FF67
1678405864.5880578,0x201,0,1,0,0,8,054E,FFE6,FF67
1678405864.5893342,0x201,0,1,0,0,8,054B,FFED,FF67
1678405864.5900843,0x201,0,1,0,0,8,0548,FFED,FF68
1678405864.5910554,0x201,0,1,0,0,8,0547,FFED,FF3F
1678405864.59232,0x201,0,1,0,0,8,0548,FFF8,FF68
1678405864.5931048,0x201,0,1,0,0,8,0549,0003,FF68
1678405864.5939584,0x201,0,1,0,0,8,054B,0007,FF67
1678405864.595209,0x201,0,1,0,0,8,054D,0007,FF44
1678405864.5959854,0x201,0,1,0,0,8,054F,000E,FED3
1678405864.5973136,0x201,0,1,0,0,8,054F,0007,FEF6
1678405864.5980887,0x201,0,1,0,0,8,0551,0003,FEF6
1678405864.598963,0x201,0,1,0,0,8,0551,0003,FED2
1678405864.5998857,0x201,0,1,0,0,8,0551,0003,FEF6
1678405864.6011412,0x201,0,1,0,0,8,0550,0000,FED2
1678405864.601899,0x201,0,1,0,0,8,054F,FFF5,FEAF
1678405864.6031756,0x201,0,1,0,0,8,0549,FFEA,FED4
1678405864.6039417,0x201,0,1,0,0,8,0548,FFE2,FF3F
1678405864.6049006,0x201,0,1,0,0,8,0545,FFE6,FF3F
1678405864.6057582,0x201,0,1,0,0,8,0542,FFED,FF3F
1678405864.6070967,0x201,0,1,0,0,8,0540,FFED,FF13
1678405864.607838,0x201,0,1,0,0,8,053D,FFED,FF3F
1678405864.609108,0x201,0,1,0,0,8,053C,FFF1,FF3F
1678405864.6099823,0x201,0,1,0,0,8,053C,FFF8,FF3F
1678405864.6108503,0x201,0,1,0,0,8,053E,0000,FF3E
1678405864.6121042,0x201,0,1,0,0,8,053F,0007,FF6B
1678405864.6128767,0x201,0,1,0,0,8,0541,000A,FED7
1678405864.6137278,0x201,0,1,0,0,8,0543,000A,FED6
1678405864.6149654,0x201,0,1,0,0,8,0544,0007,FEAB
1678405864.615764,0x201,0,1,0,0,8,0544,0003,FEAB
1678405864.6170685,0x201,0,1,0,0,8,0544,0000,FECA
1678405864.617824,0x201,0,1,0,0,8,0543,FFFC,FECA
1678405864.61876,0x201,0,1,0,0,8,0543,FFF8,FED6
1678405864.6196976,0x201,0,1,0,0,8,053F,FFF1,FEAB
1678405864.620961,0x201,0,1,0,0,8,053B,FFEA,FF3F
1678405864.6217687,0x201,0,1,0,0,8,0538,FFE2,FF10
1678405864.6226056,0x201,0,1,0,0,8,0536,FFE6,FF40
1678405864.6238515,0x201,0,1,0,0,8,0533,FFEA,FF3F
1678405864.6246622,0x201,0,1,0,0,8,0531,FFEA,FF3F
1678405864.6259305,0x201,0,1,0,0,8,0530,FFF1,FF40
